"Plant_id";"Anthophora_sp";"Apis_mellifera";"Attagenus_sp";"Bombylius_sp";"Chalicodoma_sicula";"Chrysolina_americana";"Colletes_sp";"Diptera_sp7";"Eristalis_sp";"Halictus_sp2";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp3";"Lobonyx_aeneus";"Malachius_sp";"Osmia_sp";"Rhyncomyia_cupraea";"Sphaerophoria_scripta";"Syrphidae_sp2";"Thyreus_sp";"Vespidae";"Xylocopa_cantabrita"
"100";0;0.900586585177037;0;0;0;0;0;0;0;0;0.758051235208001;0.0943890928159413;0;0;0;0.138724688266065;0;0;0;0;0;0.178057457932855
"101";0;1.42779881016766;0;0;0;0;0;0;0;0;0.923708426210455;0;0;0;0;0;0;0;0;0.0648999459167117;0;0
"102";0;10.9000354898269;0;0;0;0;0;0;0;0.197476686780033;2.91571269397798;0.0036968119837488;0;0.0835266821345708;0;0;0.0626304801670146;0;0;0;0;0
"103";0;3.17880811766027;0;0.334728033472803;0;0;0.148809523809524;0;0;0;1.57942850861538;0;0;0;0;0;0;0;0;0;0;0
"104";0;0.610818947058239;0;0;0;0;0;0;0;0;2.41786318752665;0;0;0;0;0;0;0;0;0;0;0
"196";0;0;0;0;0;0;0;0;0.0925449871465296;0;0;0.957093991289788;0;0;0;0;0;0;0;0;0;0
"197";0;0.186241265925162;0;0;0;0;0;0;0;0;0;0;0;0;0.103558929466003;0;0;0;0;0;0;0
"198";0;0;0;0;0;0;0.481798715203426;0;0.475848262409527;0;0;1.80810194883853;0;0;0;0;0;0.0550964187327824;0;0;0;0
"199";0;0;0.151204594140496;0;0;0;0;0;0;0;0;0.375161463439232;0;0;0;0;0;0;0;0;0;0
"200";0;0;0;0;0;0;0;0;0.160012317366677;0;0;1.20843091334895;0;0;0;0;0;0;0.0307756471515021;0;0;0
"201";0;0.0899100899100899;0.0315369582064463;0;0;0;0;0.0304259634888438;0.12396694214876;0;0;1.19900991610091;0.0788423955161157;0;0;0;0;0;0;0;0;0
"202";0;0;0;0;0;0;0.166481687014428;0;0;0;0;0.0631560728508594;0;0;0;0;0;0;0;0;0;0
"203";0;0.107995360519024;0;0;0;0;0;0;0.154816544135731;0;0;0.488198091524269;0;0;0;0;0;0;0.120745304994404;0;0;0
"205";0;0.0956937799043062;0;0;0;0;0;0;0;0;0;0.321054553140793;0;0.0578313253012048;0;0;0;0;0;0;0;0
"207";0;0;0;0;0;0;0;0;0;0;0;0.412475980298399;0;0;0;0;0;0;0;0;0;0
"208";0;0;0;0;0;0;0;0;0;0;0;0.382861116887837;0;0;0;0;0;0;0;0;0;0
"209";0;0.0318471337579618;0.119726357272932;0;0;0;0;0;0;0;0;0.0631911532385466;0;0;0;0;0;0;0;0;0;0
"210";0;0;0;0;0;0;0;0;0;0;0;0.797122351803583;0;0;0;0;0;0;0;0;0;0
"211";0.0285933821626642;0;0;0;0;0;0;0;0;0;0.141972444965931;0;0;0;0;0;0;0;0;0;0;0
"215";0.520532099479468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"216";0;0.103151862464183;0;0;0;0;0;0;0;0;0.0343839541547278;0;0;0;0;0;0;0;0;0;0;0
"219";0;0.0136137982870004;0;0;0;0;0;0;0;0;0.178359096313912;0;0;0;0;0;0;0;0;0;0;0
"220";0.39678261564852;0.511106973288765;0;0;0;0;0;0;0;0;0.0280465836136567;0;0;0;0;0;0;0;0;0;0;0
"225";1.19328775637042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"345";0;0;0;0.181091671815551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.134407525537246
"350";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.349378881987578;0;0;0;0;0
"91";0;0.443056603353585;0;0;0;0;0;0;0;0;0.885795622002079;0;0;0;0;0;0;0;0;0;0;0
"93";0;1.14669212582225;0;0.160991329107914;0;0;0;0;0;0;2.07552227424688;0;0;0;0;0;0;0;0;0;0;0.056232427366448
"95";0;1.67923894506927;0;0;0;0;0;0;0;0;1.05155581174464;0;0;0;0;0;0;0;0;0;0;0
"96";0;0.451552210724365;0;0;0.19755409219191;0.108867298615612;0;0;0;0;0.500284516968026;0;0;0;0;0;0;0;0;0;0;0
"97";0;0.320341697810998;0;0;0;0;0;0;0;0;2.6159285038048;0.0776330516587247;0;0;0;0;0;0;0;0;0;0
"98";0;3.70533207286273;0;0.098258501972141;0;0;0;0;0;0;1.49464392361772;0;0;0;0;0;0;0;0;0;0.0962566844919786;0.701365910507624
"99";0;0.373328212274607;0;0;0;0;0;0;0;0;0.550944037577806;0.234146341463415;0;0;0;0;0;0;0.098258501972141;0;0;0
