"Plant_id";"Andrena_sp";"Apis_mellifera";"Attagenus_sp";"Bombylius_sp";"Ceratina_sp";"Colletes_sp";"Diptera_sp7";"Eristalis_sp";"Eucera_sp";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lasioglossum_sp6";"Lobonyx_aeneus";"Malachius_sp";"Megachilidae_sp";"Rhyncomyia_cupraea";"Syrphidae_sp3";"Xylocopa_cantabrita"
"1";0;0;0;0;0;0;0;0;0;0.13745704467354;0;0;0;0;0;0;0;0
"106";0.0298953662182362;0.435696801270756;0;0;0;0;0;0;0.00949260480862656;0;2.67151128597714;0.209267563527653;0;0.0692833372450989;0;0;0;0
"107";0;0;0;0;0;0;0;0;0.044028341163485;0;5.9579261560753;0;0.0341102899374645;0;0;0;0;0
"109";0;0;0.107142857142857;0;0;0;0;0;0;0;0.779709083181763;0;0;0;0;0;0;0
"11";0;0;0;0;0;0;0;0;0;0.165016501650165;0;0;0;0;0;0;0;0
"110";0.567524960588544;0;0;0;0;0;0.0338218714768884;0;0;0;2.28272593852313;0;0;0;0;0.126984126984127;0.176064498287308;0
"111";0;0;0;0;0;0;0;0;0;0;0.0952511372920404;0;0;0.0952511372920404;0;0;0;0
"112";0;0;0;0;0;0;0;0;0;0;2.48173501922516;0;0.0458715596330275;0;0;0;0;0
"113";0;0;0;0;0;0;0;0.0341880341880342;0;0;3.16945773405447;0;0.0341880341880342;0.0434631718490306;0.307692307692308;0;0.00270550962887295;0
"114";0;0;0;0;0;0;0;0.197461212976023;0;0;0.777493399119454;0;0;0;0;0;0;0
"115";0;0.895522388059702;0;0;0;0;0;0;0;0;2.71151787649137;0;0;0;0;0;0;0
"116";0.341085271317829;0;0;0;0;0;0;0;0;0;0.765471072490477;0.186046511627907;0;0;0;0;0;0
"117";0;0.810048377112446;0;0;0;0;0;0;0;0;0.919465015459804;0;0;0.0381699694230427;0;0;0;0
"118";0;0.197044334975369;0;0.0328407224958949;0;0;0;0;0;0;0.918329237165218;0;0;0;0;0;0;0
"119";0;0;0;0;0;0;0;0;0;0;0.914481364190412;0;0;0;0;0;0;0
"120";0;0;0;0;0;0.0342270393610953;0;0;0;0;0.255790835049329;0;0;0;0;0;0;0
"13";0;0.448179271708683;0;0;0;0;0;0;0;0.252100840336134;0;0;0;0;0;0;0;0
"15";0;1.62162162162162;0;0;0;0;0;0;0;0.363466915191053;0;0;0;0;0;0;0;0
"2";0;0.0996126175982291;0;0;0;0;0;0;0;0.0664084117321527;0;0;0;0;0;0;0;0
"236";0;0;0;0;0.502092050209205;0;0;0;0;0;0.0941422594142259;0;0;0;0;0;0;0
"237";0;0;0;0;0;0;0;0;0;0;0;0.0827586206896552;0;0;0;0;0;0
"238";0;0.0901352028042063;0;0;0;0;0;0;0;0;0.0600901352028042;0;0;0;0;0;0;0
"239";0;0;0;0;0;0;0;0;0;0.1932811780948;0;0;0;0;0;0;0;0
"240";0;4.13294797687861;0;0;0;0;0;0;0;0.606936416184971;0.080227827758416;0;0;0;0;0;0;0
"241";0;0;0;0;0;0;0;0;0.0917899031106578;0;0;0;0;0;0;0;0;0
"244";0;0;0;0;0;0;0;0;0;0;0.0350672121566335;0;0;0;0;0;0;0
"245";0.096411355115158;0;0;0;0;0;0;0;0;0.0986842105263158;0.0328947368421053;0;0;0;0;0;0;0
"246";0;0;0;0;0;0;0;0;0;0;0.0689259046524986;0;0;0;0;0;0;0
"247";0;0;0;0;0;0;0;0;0;0.329132522548442;0;0;0;0;0;0;0;0
"249";0;0;0;0;0;0;0;0;0;0;0.0276625172890733;0;0;0;0;0;0;0
"261";0;0.998655082890088;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"266";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.488796380194323
"268";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.318471337579618
"269";0;2.07454277640614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4446227929374
"271";0;0.614754098360656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"274";0;0;0;0.414422642139086;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"275";0;3.45147765213339;0;0;0;0;0;0;0.223443294729188;0;0;0;0;0;0;0;0;0
"3";0;0;0;0;0;0;0;0;0;0.0942507068803016;0;0;0;0;0;0;0;0
"4";0;0;0;0;0;0;0;0;0;0.0308324768756423;0;0;0;0;0;0;0;0
"5";0;0.541896638233818;0;0;0;0;0;0;0;0.270948319116909;0;0;0;0;0;0;0;0
"6";0;0.975043528728961;0;0;0;0;0;0;0;0.626813697040046;0;0;0;0;0;0;0;0.0381005487500816
"7";0;0.309988518943743;0;0;0;0;0;0;0;0.137772675086108;0;0;0;0;0;0;0;0
"8";0;0.0294261893084845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Y";0;0.0436479318057822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
